employee_id,age,gender,country,city,education,experience_level,years_experience,job_title,industry,programming_langiage,company_size,remote_type,tools_used,certification,salary_usd,work_hours_per_week,satisfaction_score,promotion_last_2_years
1,22,Female,Australia,Jamesland,Bachelors,Lead,20,AI Engineer,Healthcare,R,Small,Remote,"Tableau, TensorFlow, Python",Microsoft Power BI,,46,5.8,No
2,23,Other,India,West Derrick,Masters,Lead,13,Data Scntist,Gaming,Julia,Medium,Hybrid,"Pandas, SQL, Spark",None,,38,8.4,No
3,44,Male,Canada,Luceroside,Bachelors,Lead,11,Machine Learning Engineer,Consulting,Julia,Medium,Hybrid,"Python, PyTorch, NumPy",AWS Certified,72818.0,56,8.5,No
4,36,Other,India,South Laurenberg,Masters,Lead,18,Data Scientist,E-commerce,SQL,Large,Onsite,"Spark, TensorFlow, Pandas",TensorFlow Developer,90184.0,32,4.3,Yes
5,25,Female,Germany,Obrienview,Masters,Entry,1,Data Analyst,Retail,R,Large,Remote,"PyTorch, Excel, NumPy",TensorFlow Developer,41244.0,55,5.3,Yes
6,32,Female,Australia,Maldonadoside,PhD,Lead,14,Data Scientist,E-commerce,R,Small,Onsite,"Tableau, TensorFlow, SQL",Google Data Analytics,100416.0,30,5.7,No
7,36,Other,Germany,West Stephaniestad,Bachelors,Mid,4,AI Engineer,Gaming,R,Small,Hybrid,"Power BI, Pandas, Spark",TensorFlow Developer,51712.0,32,7.2,Yes
8,29,Other,USA,Shieldsburgh,Masters,Lead,17,Data Scientist,Finance,Julia,Small,Remote,"SQL, PyTorch, Power BI",Google Data Analytics,128349.0,48,4.9,Yes
9,52,Female,USA,Jimenezmouth,PhD,Senior,6,Data Scientist,SaaS,Python,Medium,Onsite,"Tableau, Python, Spark",Azure Data Engineer,73032.0,31,8.7,Yes
10,47,Female,India,West Christopherburgh,Masters,Lead,15,Business Analyst,Finance,R,Large,Hybrid,"Python, Tableau, Spark",TensorFlow Developer,78615.0,30,8.3,No
11,41,Other,Poland,South Joseph,Bachelors,Senior,10,Data Analyst,Healthcare,SQL,Small,Onsite,"Python, Spark, Excel",Azure Data Engineer,39297.0,60,5.5,No
12,40,Other,India,Robertstown,PhD,Lead,19,BI Analyst,EdTech,SQL,Large,Onsite,"NumPy, Python, Power BI",IBM Data Science,69127.0,38,7.8,Yes
13,55,Other,Canada,West Mary,Masters,Entry,2,Data Analyst,Consulting,Julia,Medium,Onsite,"Excel, TensorFlow, PyTorch",AWS Certified,38299.0,35,8.1,No
14,36,Male,Germany,Acevedofort,Masters,Mid,5,Data Analyst,Retail,Python,Large,Hybrid,"Spark, Python, NumPy",Azure Data Engineer,52035.0,46,8.1,Yes
15,28,Other,India,East Sarah,Masters,Mid,5,Data Scientist,Finance,Scala,Large,Onsite,"NumPy, Pandas, Excel",AWS Certified,30543.0,52,9.9,Yes
16,50,Male,Germany,South Jay,Bachelors,Lead,13,Data Engineer,EdTech,Python,Medium,Remote,"Tableau, Spark, TensorFlow",TensorFlow Developer,87981.0,33,4.1,No
17,53,Other,USA,Miguelmouth,PhD,Entry,2,AI Engineer,E-commerce,R,Large,Onsite,"Spark, Power BI, NumPy",None,95569.0,38,4.8,Yes
18,50,Female,Germany,Maryfort,PhD,Lead,11,Data Engineer,Healthcare,SQL,Large,Remote,"Python, Pandas, SQL",AWS Certified,95123.0,55,6.1,Yes
19,29,Other,India,Davisfurt,PhD,Senior,7,Data Scntist,EdTech,Python,Large,Hybrid,"Power BI, NumPy, SQL",IBM Data Science,37229.0,58,6.2,No
20,28,Other,UK,Georgeville,Masters,Senior,8,Data Scientist,Gaming,Python,Small,Onsite,"Python, Excel, TensorFlow",None,48809.0,32,6.8,Yes
21,38,Other,India,West Holly,Bachelors,Lead,12,Data Scientist,Consulting,SQL,Large,Remote,"SQL, Power BI, PyTorch",AWS Certified,60790.0,54,8.5,Yes
22,50,Male,India,Lake John,Masters,Mid,3,Machine Learning Engineer,E-commerce,R,Medium,Onsite,"Python, PyTorch, TensorFlow",None,27420.0,56,5.9,Yes
23,48,Female,USA,New Andrewtown,Masters,Lead,19,Business Analyst,Consulting,Python,Small,Hybrid,"Power BI, NumPy, SQL",Google Data Analytics,87982.0,52,6.1,No
24,27,Female,Poland,West Aaronburgh,Masters,Lead,14,Data Scientist,Retail,Scala,Large,Remote,"Python, Pandas, Tableau",Microsoft Power BI,101450.0,39,9.6,Yes
25,52,Female,Germany,Tiffanyshire,Bachelors,Senior,8,Business Analyst,SaaS,Python,Large,Hybrid,"Pandas, SQL, Excel",AWS Certified,514296.0,47,9.6,No
26,28,Male,Germany,Port Jeffery,Masters,Lead,18,AI Engineer,Retail,Scala,Medium,Hybrid,"Spark, Power BI, Python",IBM Data Science,133262.0,30,6.2,Yes
27,46,Female,Australia,Lake Kayla,Bachelors,Senior,9,Data Scientist,Gaming,Julia,Small,Onsite,"Pandas, Tableau, NumPy",Google Data Analytics,,41,6.4,No
28,31,Female,Germany,Patriciaton,PhD,Mid,5,Data Scientist,Finance,Python,Medium,Onsite,"SQL, Python, Pandas",Google Data Analytics,63540.0,35,8.6,No
29,52,Male,Poland,Christopherton,Bachelors,Lead,16,Data Analyst,Gaming,Julia,Small,Hybrid,"Excel, SQL, TensorFlow",IBM Data Science,56133.0,56,4.6,No
30,47,Female,Brazil,Susanshire,Bachelors,Lead,11,Machine Learning Engineer,Finance,Julia,Small,Onsite,"Pandas, Power BI, Tableau",Azure Data Engineer,38719.0,44,5.5,Yes
